video_filename,site,array_size,distribution,number_reward,bout,flowerID,visit_order,visit_type,NOTES,,
20210628_0941_2-8-10-15,SPNC,4x4,random,4,1,12,2,,,,
20210628_0941_2-8-10-15,SPNC,4x4,random,4,1,8,3,,,,
20210628_0941_2-8-10-15,SPNC,4x4,random,4,1,7,4,,,,
20210628_0955_2-8-10-15,SPNC,4x4,random,4,2,4,1,,,,
20210628_0955_2-8-10-15,SPNC,4x4,random,4,2,8,2,,,,
20210628_0955_2-8-10-15,SPNC,4x4,random,4,2,4,3,,,,
20210628_0955_2-8-10-15,SPNC,4x4,random,4,2,3,4,,,,
20210628_1929_2-8-10-15,SPNC,4x4,random,4,3,16,1,,,,
20210628_1929_2-8-10-15,SPNC,4x4,random,4,3,12,2,,,,
20210628_1929_2-8-10-15,SPNC,4x4,random,4,3,8,3,,,,
20210628_1938_2-8-10-15,SPNC,4x4,random,4,4,4,1,,,,
